window_id,start_timestamp,end_timestamp,seconds,buy_dex,sell_dex,max_net_edge_bps_floor,mean_net_edge_bps_floor,max_net_profit_quote_floor,mean_net_profit_quote_floor
13,2026-04-15 10:07:26+00:00,2026-04-15 10:17:53+00:00,628,raydium_cpmm,meteora_damm_v2,1715.1425092137542,1704.026903430595,0.012713488981586722,0.012654009916966902
31,2026-04-15 20:52:04+00:00,2026-04-15 21:02:04+00:00,601,raydium_cpmm,meteora_damm_v2,1712.1636033759005,1712.0660465273183,0.012969164828249412,0.012968533510058488
34,2026-04-15 22:19:53+00:00,2026-04-15 22:21:01+00:00,69,raydium_cpmm,meteora_damm_v2,1705.2791321926431,1705.2791321926431,0.012921619407116823,0.012921619407116823
25,2026-04-15 17:44:52+00:00,2026-04-15 17:53:57+00:00,546,raydium_cpmm,meteora_damm_v2,1692.9005836014078,1692.9005836014078,0.012783256347624582,0.012783256347624582
8,2026-04-15 07:09:43+00:00,2026-04-15 07:22:28+00:00,766,raydium_cpmm,meteora_damm_v2,1690.728705787208,1680.9312018455341,0.012543354661565715,0.012473670039055288
11,2026-04-15 08:06:59+00:00,2026-04-15 08:10:48+00:00,230,raydium_cpmm,meteora_damm_v2,1686.3065801105065,1684.3917721330909,0.012509496659566932,0.012495292075252483
2,2026-04-15 03:20:40+00:00,2026-04-15 03:33:54+00:00,795,raydium_cpmm,meteora_damm_v2,1685.6913656144568,1675.3902321813302,0.0125587255972454,0.01249313555932237
1,2026-04-15 02:31:08+00:00,2026-04-15 02:45:36+00:00,869,raydium_cpmm,meteora_damm_v2,1682.2766663393265,1667.6689853917887,0.012576266036679684,0.012462016721171558
5,2026-04-15 05:33:16+00:00,2026-04-15 05:44:52+00:00,697,raydium_cpmm,meteora_damm_v2,1673.7075682578568,1659.627499936807,0.012488185778827838,0.012386133631925287
12,2026-04-15 09:59:52+00:00,2026-04-15 10:05:50+00:00,359,raydium_cpmm,meteora_damm_v2,1668.8169561559482,1668.8169561559484,0.012419106131742842,0.01241910613174284
4,2026-04-15 05:00:34+00:00,2026-04-15 05:03:54+00:00,201,raydium_cpmm,meteora_damm_v2,1668.0163678979063,1666.8803867809954,0.012474904806911711,0.012466408933268834
6,2026-04-15 05:45:29+00:00,2026-04-15 05:51:11+00:00,343,raydium_cpmm,meteora_damm_v2,1662.815816385981,1662.3332469805453,0.012392036225623838,0.012388948432900553
10,2026-04-15 07:52:50+00:00,2026-04-15 08:03:07+00:00,618,raydium_cpmm,meteora_damm_v2,1658.5452868183384,1641.258051556605,0.012303555575187794,0.0121932505849244
3,2026-04-15 04:03:58+00:00,2026-04-15 04:13:34+00:00,577,raydium_cpmm,meteora_damm_v2,1655.6514189854377,1655.6514189854377,0.012379518402295914,0.012379518402295914
107,2026-04-17 15:36:19+00:00,2026-04-17 15:37:56+00:00,98,raydium_cpmm,meteora_damm_v2,961.1492726532385,961.1492726532387,0.00823068104341221,0.00823068104341221
113,2026-04-17 18:04:12+00:00,2026-04-17 18:22:24+00:00,1093,raydium_cpmm,meteora_damm_v2,958.4277824505563,926.3091767699669,0.00815138943286563,0.00790397877528536
122,2026-04-17 23:18:20+00:00,2026-04-17 23:25:47+00:00,448,raydium_cpmm,meteora_damm_v2,953.8884665580134,930.0991758654354,0.008098581994035372,0.007896609197415895
123,2026-04-18 00:56:18+00:00,2026-04-18 01:06:25+00:00,608,raydium_cpmm,meteora_damm_v2,951.9018719060797,940.407614434197,0.008085071245528878,0.007992143882833229
119,2026-04-17 21:01:49+00:00,2026-04-17 21:13:00+00:00,672,raydium_cpmm,meteora_damm_v2,939.6063900883289,922.2708596616827,0.00797866084713153,0.007845662186244275
99,2026-04-17 11:52:54+00:00,2026-04-17 12:04:36+00:00,703,raydium_cpmm,meteora_damm_v2,937.1376869708033,893.7556714176528,0.0079247118953882,0.007566688743849378
